point_id,x,y,z
46,567035.0,4138940.0,0.0
50,569375.0,4137090.0,0.0
51,571807.0,4135370.0,0.0
1,572785.6,4135412.05,248.69
52,574293.0,4133720.0,0.0
5,575231.05,4135012.17,140.0
9,577670.37,4134606.26,0.0
53,576765.0,4132060.0,0.0
13,579183.12,4133288.88,0.0
54,579078.0,4130170.0,0.0
18,579980.63,4131267.92,-133.0
23,580694.79,4129164.97,170.0
55,580948.0,4127860.0,0.0
27,581322.95,4126977.42,0.0
56,582806.0,4125530.0,0.0
36,583676.83,4123681.98,140.98
57,584865.0,4123380.0,0.0
41,585612.48,4122780.61,0.0
58,587408.0,4121820.0,0.0
59,590080.0,4120510.0,0.0
60,592865.0,4119440.0,0.0
61,595670.0,4118430.0,0.0
62,598153.0,4116830.0,0.0
63,600369.0,4114830.0,0.0
64,602387.0,4112640.0,0.0
65,604329.0,4110380.0,0.0
66,606307.0,4108150.0,0.0
67,608369.0,4105990.0,0.0
68,610458.0,4103860.0,0.0
69,612488.0,4101680.0,0.0
70,614505.0,4099480.0,0.0
71,616500.0,4097260.0,0.0
72,618482.0,4095040.0,0.0
73,620561.0,4092900.0,0.0
74,622693.0,4090810.0,0.0
75,624822.0,4088720.0,0.0
76,626913.0,4086600.0,0.0
77,628993.0,4084460.0,0.0
78,631085.0,4082330.0,0.0
79,633228.0,4080260.0,0.0
80,635373.0,4078190.0,0.0
81,637518.0,4076110.0,0.0
82,639623.0,4074000.0,0.0
83,641668.0,4071830.0,0.0
84,643711.0,4069660.0,0.0
85,645755.0,4067490.0,0.0
47,647799.0,4065314.0,0.0
124,647776.0,4065290.0,-2333.33
125,647752.0,4065270.0,-4666.67
49,647729.0,4065244.0,-7000.0
121,645499.0,4067210.0,-7000.0
120,643212.0,4069100.0,-7000.0
119,640924.0,4071000.0,-7000.0
118,638609.0,4072860.0,-7000.0
117,636232.0,4074650.0,-7000.0
1116,,,
115,631689.0,4078480.0,-7000.0
114,629440.0,4080420.0,-7000.0
113,627175.0,4082340.0,-7000.0
112,624815.0,4084150.0,-7000.0
111,622535.0,4086060.0,-7000.0
110,620281.0,4087990.0,-7000.0
109,618048.0,4089950.0,-7000.0
108,615863.0,4091970.0,-7000.0
107,613797.0,4094100.0,-7000.0
106,611755.0,4096260.0,-7000.0
105,609717.0,4098420.0,-7000.0
104,607415.0,4100300.0,-7000.0
103,605045.0,4102100.0,-7000.0
102,602663.0,4103870.0,-7000.0
101,600070.0,4105310.0,-7000.0
100,597475.0,4106730.0,-7000.0
99,595243.0,4108690.0,-7000.0
98,593006.0,4110650.0,-7000.0
97,590816.0,4112650.0,-7000.0
96,588719.0,4114760.0,-7000.0
95,586631.0,4116880.0,-7000.0
94,584544.0,4118990.0,-7000.0
93,582572.0,4121210.0,-7000.0
40,582115.41,4122146.02,-7754.0
35,580897.08,4123753.01,-8667.0
30,579518.77,4125202.64,-8500.0
26,578091.98,4126604.58,-8667.0
22,576616.19,4127958.31,-9090.0
17,575213.64,4129384.09,-9090.0
12,573828.63,4130827.13,-8161.0
8,572426.08,4132252.91,-8161.0
4,571103.49,4133757.35,-8500.0
84,643711.0,4069660.0,0.0
48,566965.0,4138874.0,-7000.0
123,566989.0,4138900.0,-4666.67
122,567012.0,4138920.0,-2333.33
