1,557799.0,4151030.0,0.0
5,559746.0,4149440.0,0.0
6,561693.0,4147850.0,0.0
7,563652.0,4146270.0,0.0
8,565623.0,4144710.0,0.0
9,567582.0,4143130.0,0.0
2,569536.0,4141553.0,0.0
38,571860.0,4139730.0,0.0
39,574216.0,4137940.0,0.0
275,569621.0,4137510.0,-7000.0
480,575754.74,4135527.32,238.0
40,576710.0,4136360.0,0.0
485,578019.86,4134950.05,0.0
41,579076.0,4134590.0,0.0
491,579835.6,4133930.73,0.0
497,580709.8,4131985.2,0.0
42,581152.0,4132490.0,0.0
502,582033.3,4130481.66,0.0
43,583233.0,4130390.0,0.0
508,583686.43,4129302.37,0.0
44,585322.0,4128300.0,0.0
514,585220.56,4128006.03,0.0
520,586616.17,4126573.42,0.0
45,587433.0,4126230.0,0.0
526,588052.74,4125181.1,0.0
46,589865.0,4124550.0,0.0
532,590322.97,4124608.86,0.0
537,591734.54,4123191.95,0.0
47,592317.0,4122900.0,0.0
542,593320.23,4121946.33,0.0
548,594555.04,4120355.54,0.0
48,594917.0,4121520.0,0.0
553,596739.87,4119699.29,0.0
49,597708.0,4120550.0,0.0
558,599207.17,4119320.9,0.0
50,600443.0,4119430.0,0.0
563,601538.84,4118809.1,0.0
51,603156.0,4118260.0,0.0
568,604037.81,4118461.86,0.0
52,605912.0,4117190.0,0.0
53,608686.0,4116180.0,0.0
54,611460.0,4115160.0,0.0
55,614219.0,4114100.0,0.0
56,616781.0,4112650.0,0.0
57,618929.0,4110640.0,0.0
58,620753.0,4108320.0,0.0
59,622373.0,4105850.0,0.0
60,623879.0,4103310.0,0.0
61,625333.0,4100730.0,0.0
62,626767.0,4098150.0,0.0
63,628218.0,4095570.0,0.0
64,629701.0,4093020.0,0.0
65,631248.0,4090500.0,0.0
66,632893.0,4088050.0,0.0
67,634573.0,4085610.0,0.0
68,636334.0,4083240.0,0.0
69,638176.0,4080930.0,0.0
70,640081.0,4078670.0,0.0
71,641971.0,4076400.0,0.0
72,643860.0,4074130.0,0.0
73,645742.0,4071850.0,0.0
74,647461.0,4069440.0,0.0
35,649152.0,4067019.0,0.0
218,650639.0,4064890.0,0.0
219,652127.0,4062750.0,0.0
220,653614.0,4060620.0,0.0
215,655102.0,4058485.0,0.0
226,655079.0,4058460.0,-2333.33
227,655055.0,4058440.0,-4666.67
217,655032.0,4058415.0,-7000.0
464,655009.0,4058390.0,-9333.33
463,654985.0,4058370.0,-11666.7
454,654962.0,4058345.0,-14000.0
460,653159.0,4060080.0,-14000.0
459,651355.0,4061810.0,-14000.0
458,649497.0,4063480.0,-14000.0
274,647659.0,4065174.0,-14000.0
347,645429.0,4067140.0,-14000.0
346,643142.0,4069030.0,-14000.0
345,640854.0,4070930.0,-14000.0
344,638539.0,4072790.0,-14000.0
343,636162.0,4074580.0,-14000.0
342,633869.0,4076470.0,-14000.0
342,633869.0,4076470.0,-14000.0
340,629370.0,4080350.0,-14000.0
339,627105.0,4082270.0,-14000.0
338,624745.0,4084080.0,-14000.0
337,622465.0,4085990.0,-14000.0
336,620211.0,4087920.0,-14000.0
335,617978.0,4089880.0,-14000.0
334,615793.0,4091900.0,-14000.0
333,613727.0,4094030.0,-14000.0
332,611685.0,4096190.0,-14000.0
331,609647.0,4098350.0,-14000.0
330,607345.0,4100230.0,-14000.0
329,604975.0,4102020.0,-14000.0
328,602593.0,4103800.0,-14000.0
327,600000.0,4105240.0,-14000.0
326,597405.0,4106660.0,-14000.0
325,595173.0,4108620.0,-14000.0
324,592936.0,4110580.0,-14000.0
323,590746.0,4112580.0,-14000.0
322,588649.0,4114690.0,-14000.0
321,586561.0,4116810.0,-14000.0
320,584475.0,4118920.0,-14000.0
319,582502.0,4121140.0,-14000.0
318,580632.0,4123450.0,-14000.0
317,578855.0,4125830.0,-14000.0
316,576511.0,4127610.0,-14000.0
315,574169.0,4129400.0,-14000.0
314,572297.0,4131710.0,-14000.0
313,570473.0,4134060.0,-14000.0
312,568690.0,4136440.0,-14000.0
241,566895.0,4138804.0,-14000.0
251,565360.0,4140820.0,-14000.0
250,563810.0,4142830.0,-14000.0
249,562241.0,4144820.0,-14000.0
248,560672.0,4146810.0,-14000.0
247,559110.0,4148810.0,-14000.0
240,557659.0,4150889.0,-14000.0
253,557682.0,4150910.0,-11666.7
252,557705.0,4150940.0,-9333.33
3,557729.0,4150959.0,-7000.0
15,557752.0,4150980.0,-4666.67
16,557775.0,4151010.0,-2333.33
